nombre,capital,poblacion,idioma,divisa
Botswana,Gaborone,2.351.625,English,Botswana pula (BWP)
Ghana,Accra,31.072.945,English,Ghanaian cedi (GHS)
Namibia,Windhoek,2.540.916,Afrikaans,Namibian dollar (NAD)
Seychelles,Victoria,98.462,Seychellois Creole,Seychellois rupee (SCR)
Malawi,Lilongwe,19.129.955,English,Malawian kwacha (MWK)
Republic of the Congo,Brazzaville,5.657.000,French,Central African CFA franc (XAF)
Eritrea,Asmara,5.352.000,Arabic,Eritrean nakfa (ERN)
Guinea-Bissau,Bissau,1.967.998,Portuguese,West African CFA franc (XOF)
Tanzania,Dodoma,59.734.213,English,Tanzanian shilling (TZS)
Ethiopia,Addis Ababa,114.963.583,Amharic,Ethiopian birr (ETB)
Mauritania,Nouakchott,4.649.660,Arabic,Mauritanian ouguiya (MRU)
Réunion,Saint-Denis,840.974,French,Euro (EUR)
Gabon,Libreville,2.225.728,French,Central African CFA franc (XAF)
Somalia,Mogadishu,15.893.219,Arabic,Somali shilling (SOS)
DR Congo,Kinshasa,108.407.721,French,Congolese franc (CDF)
Equatorial Guinea,Malabo,1.402.985,French,Central African CFA franc (XAF)
Mauritius,Port Louis,1.265.740,English,Mauritian rupee (MUR)
Rwanda,Kigali,12.952.209,English,Rwandan franc (RWF)
Benin,Porto-Novo,12.123.198,French,West African CFA franc (XOF)
Sudan,Khartoum,43.849.269,Arabic,Sudanese pound (SDG)
Togo,Lomé,8.278.737,French,West African CFA franc (XOF)
Libya,Tripoli,6.871.287,Arabic,Libyan dinar (LYD)
Mali,Bamako,20.250.834,French,West African CFA franc (XOF)
Zimbabwe,Harare,14.862.927,Chibarwe,Zimbabwean dollar (ZWL)
Nigeria,Abuja,206.139.587,English,Nigerian naira (NGN)
Kenya,Nairobi,53.771.300,English,Kenyan shilling (KES)
South Sudan,Juba,11.193.729,English,South Sudanese pound (SSP)
Lesotho,Maseru,2.142.252,English,Lesotho loti (LSL)
Zambia,Lusaka,18.383.956,English,Zambian kwacha (ZMW)
Burundi,Gitega,11.890.781,French,Burundian franc (BIF)
Western Sahara,El Aaiún,510.713,Berber,Algerian dinar (DZD)
Mayotte,Mamoudzou,226.915,French,Euro (EUR)
Gambia,Banjul,2.416.664,English,dalasi (GMD)
Sierra Leone,Freetown,7.976.985,English,Leone (SLE)
Tunisia,Tunis,11.818.618,Arabic,Tunisian dinar (TND)
Cameroon,Yaoundé,26.545.864,English,Central African CFA franc (XAF)
British Indian Ocean Territory,Diego Garcia,3.000,English,United States dollar (USD)
Mozambique,Maputo,31.255.435,Portuguese,Mozambican metical (MZN)
São Tomé and Príncipe,São Tomé,219.161,Portuguese,São Tomé and Príncipe dobra (STN)
Ivory Coast,Yamoussoukro,26.378.275,French,West African CFA franc (XOF)
Comoros,Moroni,869.595,Arabic,Comorian franc (KMF)
Egypt,Cairo,102.334.403,Arabic,Egyptian pound (EGP)
Senegal,Dakar,16.743.930,French,West African CFA franc (XOF)
Liberia,Monrovia,5.057.677,English,Liberian dollar (LRD)
Cape Verde,Praia,555.988,Portuguese,Cape Verdean escudo (CVE)
Burkina Faso,Ouagadougou,20.903.278,French,West African CFA franc (XOF)
Djibouti,Djibouti,988.002,Arabic,Djiboutian franc (DJF)
Algeria,Algiers,44.700.000,Arabic,Algerian dinar (DZD)
Angola,Luanda,32.866.268,Portuguese,Angolan kwanza (AOA)
South Africa,"Pretoria, Bloemfontein, Cape Town",59.308.690,Afrikaans,South African rand (ZAR)
Niger,Niamey,24.206.636,French,West African CFA franc (XOF)
Eswatini,Mbabane,1.160.164,English,Swazi lilangeni (SZL)
Guinea,Conakry,13.132.792,French,Guinean franc (GNF)
Central African Republic,Bangui,4.829.764,French,Central African CFA franc (XAF)
Uganda,Kampala,45.741.000,English,Ugandan shilling (UGX)
Chad,N'Djamena,16.425.859,Arabic,Central African CFA franc (XAF)
"Saint Helena, Ascension and Tristan da Cunha",Jamestown,53.192,English,Pound sterling (GBP)
Madagascar,Antananarivo,27.691.019,French,Malagasy ariary (MGA)
Morocco,Rabat,36.910.558,Arabic,Moroccan dirham (MAD)
